year,month,지역코드,지역명,평균 체류시간
2025,6,41111,수원시 장안구,729.0
2025,6,41113,수원시 권선구,996.0
2025,6,41115,수원시 팔달구,544.0
2025,6,41117,수원시 영통구,810.0
2025,6,41131,성남시 수정구,830.0
2025,6,41133,성남시 중원구,924.0
2025,6,41135,성남시 분당구,816.0
2025,6,41150,의정부시,1255.0
2025,6,41171,안양시 만안구,855.0
2025,6,41173,안양시 동안구,1031.0
2025,6,41192,부천시 원미구,793.0
2025,6,41194,부천시 소사구,913.0
2025,6,41196,부천시 오정구,709.0
2025,6,41210,광명시,742.0
2025,6,41220,평택시,1710.0
2025,6,41250,동두천시,1054.0
2025,6,41271,안산시 상록구,1229.0
2025,6,41273,안산시 단원구,1019.0
2025,6,41281,고양시 덕양구,889.0
2025,6,41285,고양시 일산동구,814.0
2025,6,41287,고양시 일산서구,825.0
2025,6,41290,과천시,541.0
2025,6,41310,구리시,582.0
2025,6,41360,남양주시,1105.0
2025,6,41370,오산시,1163.0
2025,6,41390,시흥시,1069.0
2025,6,41410,군포시,1092.0
2025,6,41430,의왕시,712.0
2025,6,41450,하남시,726.0
2025,6,41461,용인시 처인구,966.0
2025,6,41463,용인시 기흥구,956.0
2025,6,41465,용인시 수지구,1162.0
2025,6,41480,파주시,1197.0
2025,6,41500,이천시,1098.0
2025,6,41550,안성시,919.0
2025,6,41570,김포시,1201.0
2025,6,41590,화성시,1319.0
2025,6,41610,광주시,1192.0
2025,6,41630,양주시,1020.0
2025,6,41650,포천시,1013.0
2025,6,41670,여주시,833.0
2025,6,41800,연천군,1054.0
2025,6,41820,가평군,858.0
2025,6,41830,양평군,790.0
