year,month,지역코드,지역명,평균 체류시간
2025,9,41111,수원시 장안구,989.0
2025,9,41113,수원시 권선구,968.0
2025,9,41115,수원시 팔달구,578.0
2025,9,41117,수원시 영통구,938.0
2025,9,41131,성남시 수정구,924.0
2025,9,41133,성남시 중원구,990.0
2025,9,41135,성남시 분당구,818.0
2025,9,41150,의정부시,1304.0
2025,9,41171,안양시 만안구,942.0
2025,9,41173,안양시 동안구,1007.0
2025,9,41192,부천시 원미구,888.0
2025,9,41194,부천시 소사구,952.0
2025,9,41196,부천시 오정구,704.0
2025,9,41210,광명시,742.0
2025,9,41220,평택시,1740.0
2025,9,41250,동두천시,1275.0
2025,9,41271,안산시 상록구,1373.0
2025,9,41273,안산시 단원구,1064.0
2025,9,41281,고양시 덕양구,934.0
2025,9,41285,고양시 일산동구,826.0
2025,9,41287,고양시 일산서구,773.0
2025,9,41290,과천시,491.0
2025,9,41310,구리시,608.0
2025,9,41360,남양주시,1140.0
2025,9,41370,오산시,1226.0
2025,9,41390,시흥시,1152.0
2025,9,41410,군포시,1068.0
2025,9,41430,의왕시,637.0
2025,9,41450,하남시,721.0
2025,9,41461,용인시 처인구,1322.0
2025,9,41463,용인시 기흥구,1071.0
2025,9,41465,용인시 수지구,1340.0
2025,9,41480,파주시,1307.0
2025,9,41500,이천시,1147.0
2025,9,41550,안성시,1257.0
2025,9,41570,김포시,1214.0
2025,9,41590,화성시,1320.0
2025,9,41610,광주시,1323.0
2025,9,41630,양주시,1109.0
2025,9,41650,포천시,1267.0
2025,9,41670,여주시,959.0
2025,9,41800,연천군,1138.0
2025,9,41820,가평군,937.0
2025,9,41830,양평군,850.0
