year,month,지역코드,지역명,평균 체류시간
2025,8,41111,수원시 장안구,779.0
2025,8,41113,수원시 권선구,1036.0
2025,8,41115,수원시 팔달구,588.0
2025,8,41117,수원시 영통구,897.0
2025,8,41131,성남시 수정구,907.0
2025,8,41133,성남시 중원구,1003.0
2025,8,41135,성남시 분당구,876.0
2025,8,41150,의정부시,1305.0
2025,8,41171,안양시 만안구,924.0
2025,8,41173,안양시 동안구,1120.0
2025,8,41192,부천시 원미구,901.0
2025,8,41194,부천시 소사구,942.0
2025,8,41196,부천시 오정구,801.0
2025,8,41210,광명시,761.0
2025,8,41220,평택시,1816.0
2025,8,41250,동두천시,1113.0
2025,8,41271,안산시 상록구,1309.0
2025,8,41273,안산시 단원구,1086.0
2025,8,41281,고양시 덕양구,919.0
2025,8,41285,고양시 일산동구,855.0
2025,8,41287,고양시 일산서구,944.0
2025,8,41290,과천시,599.0
2025,8,41310,구리시,587.0
2025,8,41360,남양주시,1146.0
2025,8,41370,오산시,1224.0
2025,8,41390,시흥시,1086.0
2025,8,41410,군포시,1189.0
2025,8,41430,의왕시,763.0
2025,8,41450,하남시,745.0
2025,8,41461,용인시 처인구,1161.0
2025,8,41463,용인시 기흥구,987.0
2025,8,41465,용인시 수지구,1235.0
2025,8,41480,파주시,1332.0
2025,8,41500,이천시,1196.0
2025,8,41550,안성시,1074.0
2025,8,41570,김포시,1208.0
2025,8,41590,화성시,1412.0
2025,8,41610,광주시,1327.0
2025,8,41630,양주시,1137.0
2025,8,41650,포천시,1173.0
2025,8,41670,여주시,873.0
2025,8,41800,연천군,1121.0
2025,8,41820,가평군,949.0
2025,8,41830,양평군,819.0
