year,month,지역코드,지역명,평균 체류시간
2024,8,41111,수원시 장안구,863.0
2024,8,41113,수원시 권선구,1149.0
2024,8,41115,수원시 팔달구,672.0
2024,8,41117,수원시 영통구,904.0
2024,8,41131,성남시 수정구,971.0
2024,8,41133,성남시 중원구,1041.0
2024,8,41135,성남시 분당구,897.0
2024,8,41150,의정부시,1350.0
2024,8,41171,안양시 만안구,928.0
2024,8,41173,안양시 동안구,1116.0
2024,8,41192,부천시 원미구,948.0
2024,8,41194,부천시 소사구,1092.0
2024,8,41196,부천시 오정구,827.0
2024,8,41210,광명시,706.0
2024,8,41220,평택시,2054.0
2024,8,41250,동두천시,1591.0
2024,8,41271,안산시 상록구,1464.0
2024,8,41273,안산시 단원구,1082.0
2024,8,41281,고양시 덕양구,966.0
2024,8,41285,고양시 일산동구,901.0
2024,8,41287,고양시 일산서구,928.0
2024,8,41290,과천시,788.0
2024,8,41310,구리시,783.0
2024,8,41360,남양주시,1119.0
2024,8,41370,오산시,1247.0
2024,8,41390,시흥시,1172.0
2024,8,41410,군포시,1117.0
2024,8,41430,의왕시,610.0
2024,8,41450,하남시,804.0
2024,8,41461,용인시 처인구,1165.0
2024,8,41463,용인시 기흥구,1099.0
2024,8,41465,용인시 수지구,1202.0
2024,8,41480,파주시,1286.0
2024,8,41500,이천시,1112.0
2024,8,41550,안성시,1106.0
2024,8,41570,김포시,1310.0
2024,8,41590,화성시,1431.0
2024,8,41610,광주시,1286.0
2024,8,41630,양주시,1110.0
2024,8,41650,포천시,1101.0
2024,8,41670,여주시,885.0
2024,8,41800,연천군,1066.0
2024,8,41820,가평군,960.0
2024,8,41830,양평군,889.0
