방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.2,2.0
60~69세,7.7,4.4
50~59세,13.0,7.9
40~49세,12.2,6.9
30~39세,10.8,7.0
20~29세,12.5,7.5
10~19세,2.5,2.2
0~9세,0.5,0.7
