유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,19.6,33.6
기타관광,기타관광,19.6,66.4
레저스포츠,기타레저스포츠,4.6,7.8
레저스포츠,수상레저스포츠,4.6,16.3
레저스포츠,육상레저스포츠,4.6,75.9
문화관광,도시/지역문화관광,10.9,0.0
문화관광,기타문화관광지,10.9,3.0
문화관광,도시공원,10.9,42.5
문화관광,랜드마크관광,10.9,6.6
문화관광,복합관광시설,10.9,8.2
문화관광,테마공원,10.9,11.1
문화관광,레저스포츠시설,10.9,0.7
문화관광,공연시설,10.9,22.8
문화관광,전시시설,10.9,5.1
쇼핑,쇼핑몰,21.6,93.8
쇼핑,시장,21.6,3.8
쇼핑,기타쇼핑시설,21.6,2.3
숙박,기타숙박,4.9,0.0
숙박,모텔,4.9,27.8
숙박,펜션/민박,4.9,11.7
숙박,호스텔,4.9,1.9
숙박,호텔,4.9,23.5
숙박,캠핑,4.9,35.1
역사관광,역사유물,2.0,0.9
역사관광,역사유적지,2.0,37.2
역사관광,종교성지,2.0,62.0
음식,간이음식,34.6,17.5
음식,외국식,34.6,7.5
음식,음식점기타,34.6,0.4
음식,전문음식,34.6,18.4
음식,한식,34.6,31.3
음식,카페/찻집,34.6,25.0
자연관광,자연경관(하천/해양),1.4,45.0
자연관광,자연경관(산),1.4,39.4
자연관광,자연공원,1.4,15.7
체험관광,농/산/어촌체험,0.3,68.3
체험관광,웰니스관광,0.3,28.9
체험관광,공예체험,0.3,2.8
