거리구분명,방문자수,방문자비율
30km 미만,1155304.0,42.83
30km 이상 70km 미만,1245622.0,46.18
70km 이상 140km 미만 ,141155.0,5.23
140km 이상 190km 미만,47638.0,1.77
190km 이상 240km 미만,22120.0,0.82
240km 이상 ,85295.0,3.16
