업종중분류명,현지인 검색비율,외지인 검색비율
음식,44.4,32.7
기타관광,20.9,19.4
쇼핑,13.6,23.3
문화관광,9.1,11.3
숙박,5.0,4.9
레저스포츠,3.4,4.8
역사관광,2.0,2.0
자연관광,1.2,1.4
체험관광,0.4,0.3
