순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202107,72400,72400.0
2,경기도,파주시,헤이리예술마을,202107,25600,25600.0
3,경기도,파주시,벽초지수목원,202107,15156,15156.0
4,경기도,파주시,퍼스트가든,202107,14786,14786.0
5,경기도,파주시,서서울컨트리클럽,202107,10947,10947.0
6,경기도,파주시,통일전망대,202107,8024,8024.0
7,경기도,파주시,서원밸리골프클럽,202107,6929,6929.0
8,경기도,파주시,공릉관광지(하니랜드),202107,4933,4933.0
9,경기도,파주시,베스트밸리,202107,3366,3366.0
10,경기도,파주시,율곡선생유적지,202107,3304,3304.0
11,경기도,파주시,파주삼릉,202107,2983,2983.0
12,경기도,파주시,황희선생유적지,202107,2902,2902.0
13,경기도,파주시,경기미래교육 파주캠퍼스,202107,2130,2130.0
14,경기도,파주시,파주장릉,202107,1493,1493.0
15,경기도,파주시,우농타조농장,202107,1237,1237.0
16,경기도,파주시,소울원,202107,1192,1192.0
17,경기도,파주시,제3땅굴,202107,1076,1076.0
18,경기도,파주시,황포돛배,202107,950,950.0
19,경기도,파주시,쇠꼴마을,202107,820,820.0
20,경기도,파주시,산머루농원,202107,801,801.0
21,경기도,파주시,두루뫼박물관,202107,92,92.0
22,경기도,파주시,영집궁시박물관,202107,20,20.0
