순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202004,117060,117060.0
2,경기도,파주시,벽초지수목원,202004,41444,41444.0
3,경기도,파주시,공릉관광지(하니랜드),202004,14142,14142.0
4,경기도,파주시,서서울컨트리클럽,202004,10248,10248.0
5,경기도,파주시,파주삼릉,202004,8178,8178.0
6,경기도,파주시,서원밸리골프클럽,202004,7871,7871.0
7,경기도,파주시,황희선생유적지,202004,5362,5362.0
8,경기도,파주시,율곡선생유적지,202004,4742,4742.0
9,경기도,파주시,파주장릉,202004,3884,3884.0
10,경기도,파주시,소울원,202004,3418,3418.0
11,경기도,파주시,경기미래교육 파주캠퍼스,202004,2999,2999.0
12,경기도,파주시,베스트밸리,202004,2910,2910.0
13,경기도,파주시,황포돛배,202004,1090,1090.0
14,경기도,파주시,헤이리예술마을,202004,320,320.0
15,경기도,파주시,쇠꼴마을,202004,150,150.0
16,경기도,파주시,우농타조농장,202004,112,112.0
17,경기도,파주시,파주임실치즈스쿨,202004,16,16.0
18,경기도,파주시,두루뫼박물관,202004,12,12.0
19,경기도,파주시,산머루농원,202004,8,8.0
20,경기도,파주시,영집궁시박물관,202004,5,5.0
