year,month,방문자 연령,방문자 비율(남성),방문자 비율(여성)
2025,8,70세 이상,3.3,3.0
2025,8,60~69세,9.8,6.6
2025,8,50~59세,12.1,8.2
2025,8,40~49세,10.7,6.4
2025,8,30~39세,11.0,7.4
2025,8,20~29세,10.5,5.6
2025,8,10~19세,2.4,2.0
2025,8,0~9세,0.4,0.5
