year,month,방문자 연령,방문자 비율(남성),방문자 비율(여성)
2024,8,70세 이상,3.0,2.9
2024,8,60~69세,9.7,6.0
2024,8,50~59세,12.5,8.0
2024,8,40~49세,10.7,6.3
2024,8,30~39세,10.7,7.1
2024,8,20~29세,11.4,5.8
2024,8,10~19세,2.8,2.1
2024,8,0~9세,0.5,0.6
