year,month,유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
2024,4,기타관광,교통시설,10.8,32.4
2024,4,기타관광,기타관광,10.8,67.6
2024,4,레저스포츠,기타레저스포츠,9.3,4.9
2024,4,레저스포츠,수상레저스포츠,9.3,3.2
2024,4,레저스포츠,육상레저스포츠,9.3,91.9
2024,4,문화관광,도시/지역문화관광,11.8,0.1
2024,4,문화관광,기타문화관광지,11.8,4.6
2024,4,문화관광,도시공원,11.8,45.0
2024,4,문화관광,랜드마크관광,11.8,6.6
2024,4,문화관광,복합관광시설,11.8,0.1
2024,4,문화관광,테마공원,11.8,20.4
2024,4,문화관광,레저스포츠시설,11.8,2.1
2024,4,문화관광,공연시설,11.8,15.9
2024,4,문화관광,전시시설,11.8,5.4
2024,4,쇼핑,쇼핑몰,15.9,93.5
2024,4,쇼핑,시장,15.9,5.4
2024,4,쇼핑,기타쇼핑시설,15.9,1.1
2024,4,숙박,기타숙박,4.3,0.0
2024,4,숙박,모텔,4.3,24.6
2024,4,숙박,펜션/민박,4.3,11.1
2024,4,숙박,호스텔,4.3,2.8
2024,4,숙박,호텔,4.3,23.5
2024,4,숙박,캠핑,4.3,37.9
2024,4,역사관광,역사유물,1.6,0.4
2024,4,역사관광,역사유적지,1.6,35.8
2024,4,역사관광,종교성지,1.6,63.8
2024,4,음식,간이음식,44.8,8.3
2024,4,음식,외국식,44.8,7.0
2024,4,음식,음식점기타,44.8,0.3
2024,4,음식,전문음식,44.8,16.7
2024,4,음식,한식,44.8,38.2
2024,4,음식,카페/찻집,44.8,29.4
2024,4,자연관광,자연경관(하천/해양),1.2,23.9
2024,4,자연관광,자연경관(산),1.2,29.5
2024,4,자연관광,자연공원,1.2,46.6
2024,4,체험관광,농/산/어촌체험,0.3,66.5
2024,4,체험관광,웰니스관광,0.3,28.1
2024,4,체험관광,공예체험,0.3,5.4
