year,month,방문자 연령,방문자 비율(남성),방문자 비율(여성)
2024,9,70세 이상,3.1,3.1
2024,9,60~69세,9.6,6.2
2024,9,50~59세,12.0,8.3
2024,9,40~49세,10.8,6.6
2024,9,30~39세,11.0,7.7
2024,9,20~29세,10.3,5.9
2024,9,10~19세,2.4,2.0
2024,9,0~9세,0.5,0.6
