year,month,업종중분류명,현지인 검색비율,외지인 검색비율
2024,1,음식,60.5,50.7
2024,1,기타관광,11.0,10.9
2024,1,쇼핑,10.3,18.1
2024,1,문화관광,9.4,10.4
2024,1,숙박,3.9,4.0
2024,1,레저스포츠,2.9,3.3
2024,1,역사관광,1.1,1.5
2024,1,자연관광,0.5,0.6
2024,1,체험관광,0.4,0.4
