year,month,목적지 유형,목적지 검색량
2025,3,전체,636675
2025,3,기타관광,61169
2025,3,쇼핑,115059
2025,3,숙박,22469
2025,3,음식,319448
2025,3,자연관광,2551
2025,3,문화관광,60746
2025,3,역사관광,7969
2025,3,체험관광,2343
2025,3,레저스포츠,44921
