year,month,유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
2025,3,기타관광,교통시설,9.6,40.0
2025,3,기타관광,기타관광,9.6,60.0
2025,3,레저스포츠,기타레저스포츠,7.1,4.4
2025,3,레저스포츠,수상레저스포츠,7.1,2.2
2025,3,레저스포츠,육상레저스포츠,7.1,93.5
2025,3,문화관광,기타문화관광지,9.5,3.8
2025,3,문화관광,도시/지역문화관광,9.5,0.0
2025,3,문화관광,도시공원,9.5,35.9
2025,3,문화관광,랜드마크관광,9.5,8.5
2025,3,문화관광,복합관광시설,9.5,0.0
2025,3,문화관광,테마공원,9.5,22.2
2025,3,문화관광,레저스포츠시설,9.5,1.6
2025,3,문화관광,공연시설,9.5,15.0
2025,3,문화관광,전시시설,9.5,12.8
2025,3,쇼핑,쇼핑몰,18.1,94.4
2025,3,쇼핑,시장,18.1,4.7
2025,3,쇼핑,기타쇼핑시설,18.1,0.9
2025,3,숙박,기타숙박,3.5,0.0
2025,3,숙박,모텔,3.5,26.1
2025,3,숙박,펜션/민박,3.5,10.3
2025,3,숙박,호스텔,3.5,4.0
2025,3,숙박,호텔,3.5,28.9
2025,3,숙박,캠핑,3.5,30.8
2025,3,역사관광,역사유물,1.3,0.3
2025,3,역사관광,역사유적지,1.3,29.9
2025,3,역사관광,종교성지,1.3,69.8
2025,3,음식,간이음식,50.2,8.3
2025,3,음식,외국식,50.2,7.5
2025,3,음식,음식점기타,50.2,0.1
2025,3,음식,전문음식,50.2,18.5
2025,3,음식,한식,50.2,36.0
2025,3,음식,카페/찻집,50.2,29.6
2025,3,자연관광,자연경관(하천/해양),0.4,54.9
2025,3,자연관광,자연경관(산),0.4,44.0
2025,3,자연관광,자연공원,0.4,1.1
2025,3,체험관광,농/산/어촌체험,0.4,51.4
2025,3,체험관광,웰니스관광,0.4,41.7
2025,3,체험관광,공예체험,0.4,6.8
