year,month,유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
2025,1,기타관광,교통시설,9.1,41.9
2025,1,기타관광,기타관광,9.1,58.1
2025,1,레저스포츠,기타레저스포츠,3.6,7.9
2025,1,레저스포츠,수상레저스포츠,3.6,6.8
2025,1,레저스포츠,육상레저스포츠,3.6,85.3
2025,1,문화관광,기타문화관광지,9.6,5.1
2025,1,문화관광,도시/지역문화관광,9.6,0.1
2025,1,문화관광,도시공원,9.6,26.5
2025,1,문화관광,랜드마크관광,9.6,8.9
2025,1,문화관광,복합관광시설,9.6,0.0
2025,1,문화관광,테마공원,9.6,23.4
2025,1,문화관광,레저스포츠시설,9.6,1.3
2025,1,문화관광,공연시설,9.6,21.5
2025,1,문화관광,전시시설,9.6,13.3
2025,1,쇼핑,쇼핑몰,17.8,93.6
2025,1,쇼핑,시장,17.8,5.4
2025,1,쇼핑,기타쇼핑시설,17.8,1.0
2025,1,숙박,기타숙박,3.9,0.0
2025,1,숙박,모텔,3.9,25.9
2025,1,숙박,펜션/민박,3.9,13.7
2025,1,숙박,호스텔,3.9,3.5
2025,1,숙박,호텔,3.9,29.1
2025,1,숙박,캠핑,3.9,27.7
2025,1,역사관광,역사유물,1.6,0.2
2025,1,역사관광,역사유적지,1.6,19.5
2025,1,역사관광,종교성지,1.6,80.3
2025,1,음식,간이음식,53.6,9.7
2025,1,음식,외국식,53.6,7.5
2025,1,음식,음식점기타,53.6,0.2
2025,1,음식,전문음식,53.6,18.0
2025,1,음식,한식,53.6,32.7
2025,1,음식,카페/찻집,53.6,32.0
2025,1,자연관광,자연경관(산),0.4,44.0
2025,1,자연관광,자연경관(하천/해양),0.4,55.1
2025,1,자연관광,자연공원,0.4,0.9
2025,1,체험관광,농/산/어촌체험,0.5,44.7
2025,1,체험관광,웰니스관광,0.5,52.6
2025,1,체험관광,공예체험,0.5,2.7
