year,month,방문자 연령,방문자 비율(남성),방문자 비율(여성)
2024,11,70세 이상,3.4,3.3
2024,11,60~69세,10.3,6.5
2024,11,50~59세,12.7,8.0
2024,11,40~49세,11.0,6.4
2024,11,30~39세,10.8,7.1
2024,11,20~29세,10.2,5.5
2024,11,10~19세,2.1,1.8
2024,11,0~9세,0.4,0.4
