year,month,유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
2024,9,기타관광,교통시설,9.2,34.0
2024,9,기타관광,기타관광,9.2,66.0
2024,9,레저스포츠,기타레저스포츠,7.4,4.0
2024,9,레저스포츠,수상레저스포츠,7.4,3.7
2024,9,레저스포츠,육상레저스포츠,7.4,92.3
2024,9,문화관광,기타문화관광지,11.1,4.5
2024,9,문화관광,도시/지역문화관광,11.1,0.1
2024,9,문화관광,도시공원,11.1,42.0
2024,9,문화관광,랜드마크관광,11.1,8.0
2024,9,문화관광,복합관광시설,11.1,0.1
2024,9,문화관광,테마공원,11.1,18.8
2024,9,문화관광,레저스포츠시설,11.1,1.3
2024,9,문화관광,공연시설,11.1,13.4
2024,9,문화관광,전시시설,11.1,11.8
2024,9,쇼핑,쇼핑몰,14.6,93.8
2024,9,쇼핑,시장,14.6,5.2
2024,9,쇼핑,기타쇼핑시설,14.6,1.0
2024,9,숙박,기타숙박,3.6,0.2
2024,9,숙박,모텔,3.6,22.6
2024,9,숙박,펜션/민박,3.6,11.9
2024,9,숙박,호스텔,3.6,2.6
2024,9,숙박,호텔,3.6,24.3
2024,9,숙박,캠핑,3.6,38.5
2024,9,역사관광,역사유물,1.6,0.6
2024,9,역사관광,역사유적지,1.6,29.7
2024,9,역사관광,종교성지,1.6,69.6
2024,9,음식,간이음식,51.5,7.5
2024,9,음식,외국식,51.5,6.5
2024,9,음식,음식점기타,51.5,0.3
2024,9,음식,전문음식,51.5,17.2
2024,9,음식,한식,51.5,40.7
2024,9,음식,카페/찻집,51.5,27.9
2024,9,자연관광,자연경관(하천/해양),0.8,26.0
2024,9,자연관광,자연경관(산),0.8,29.4
2024,9,자연관광,자연공원,0.8,44.6
2024,9,체험관광,농/산/어촌체험,0.3,62.6
2024,9,체험관광,웰니스관광,0.3,25.2
2024,9,체험관광,공예체험,0.3,12.2
