year,month,방문자 연령,방문자 비율(남성),방문자 비율(여성)
2025,5,70세 이상,3.6,3.6
2025,5,60~69세,9.8,7.0
2025,5,50~59세,11.7,8.5
2025,5,40~49세,10.5,6.3
2025,5,30~39세,10.9,7.8
2025,5,20~29세,10.1,5.5
2025,5,10~19세,2.2,1.8
2025,5,0~9세,0.4,0.5
