year,month,유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
2025,8,기타관광,교통시설,9.2,40.0
2025,8,기타관광,기타관광,9.2,60.0
2025,8,레저스포츠,기타레저스포츠,7.6,4.0
2025,8,레저스포츠,수상레저스포츠,7.6,3.4
2025,8,레저스포츠,육상레저스포츠,7.6,92.6
2025,8,문화관광,기타문화관광지,11.3,3.4
2025,8,문화관광,도시/지역문화관광,11.3,0.1
2025,8,문화관광,도시공원,11.3,25.5
2025,8,문화관광,랜드마크관광,11.3,8.9
2025,8,문화관광,복합관광시설,11.3,0.0
2025,8,문화관광,테마공원,11.3,23.9
2025,8,문화관광,레저스포츠시설,11.3,1.5
2025,8,문화관광,공연시설,11.3,19.2
2025,8,문화관광,전시시설,11.3,17.5
2025,8,쇼핑,쇼핑몰,13.1,92.7
2025,8,쇼핑,시장,13.1,6.3
2025,8,쇼핑,기타쇼핑시설,13.1,1.1
2025,8,숙박,기타숙박,3.7,0.1
2025,8,숙박,모텔,3.7,25.7
2025,8,숙박,펜션/민박,3.7,17.4
2025,8,숙박,호스텔,3.7,4.2
2025,8,숙박,호텔,3.7,29.3
2025,8,숙박,캠핑,3.7,23.1
2025,8,역사관광,역사유적지,1.4,31.2
2025,8,역사관광,역사유물,1.4,1.8
2025,8,역사관광,종교성지,1.4,67.0
2025,8,음식,간이음식,52.7,7.7
2025,8,음식,외국식,52.7,8.2
2025,8,음식,음식점기타,52.7,0.1
2025,8,음식,전문음식,52.7,16.5
2025,8,음식,한식,52.7,36.4
2025,8,음식,카페/찻집,52.7,31.1
2025,8,자연관광,자연경관(산),0.7,63.8
2025,8,자연관광,자연경관(하천/해양),0.7,35.1
2025,8,자연관광,자연공원,0.7,1.1
2025,8,체험관광,농/산/어촌체험,0.3,37.5
2025,8,체험관광,웰니스관광,0.3,39.9
2025,8,체험관광,체험관광기타,0.3,10.5
2025,8,체험관광,공예체험,0.3,12.0
