year,month,업종중분류명,현지인 검색비율,외지인 검색비율
2024,8,음식,64.0,53.2
2024,8,문화관광,9.6,10.3
2024,8,쇼핑,8.1,14.1
2024,8,기타관광,7.9,8.1
2024,8,레저스포츠,4.5,8.2
2024,8,숙박,3.7,3.9
2024,8,역사관광,1.1,1.3
2024,8,자연관광,0.8,0.9
2024,8,체험관광,0.3,0.2
