year,month,거리구분명,방문자수,방문자비율
2025,5,30km 미만,2331802.0,46.63
2025,5,30km 이상 70km 미만,2044554.0,40.88
2025,5,70km 이상 140km 미만 ,270024.0,5.4
2025,5,140km 이상 190km 미만,103367.0,2.07
2025,5,190km 이상 240km 미만,62310.0,1.25
2025,5,240km 이상 ,189006.0,3.78
