순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202109,117414,117414.0
2,경기도,파주시,벽초지수목원,202109,70369,70369.0
3,경기도,파주시,퍼스트가든,202109,55810,55810.0
4,경기도,파주시,헤이리예술마을,202109,32983,32983.0
5,경기도,파주시,공릉관광지(하니랜드),202109,20778,20778.0
6,경기도,파주시,통일전망대,202109,10755,10755.0
7,경기도,파주시,서서울컨트리클럽,202109,10595,10595.0
8,경기도,파주시,서원밸리골프클럽,202109,7867,7867.0
9,경기도,파주시,율곡선생유적지,202109,7587,7587.0
10,경기도,파주시,파주삼릉,202109,5665,5665.0
11,경기도,파주시,황희선생유적지,202109,4738,4738.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202109,3820,3820.0
13,경기도,파주시,베스트밸리,202109,3780,3780.0
14,경기도,파주시,우농타조농장,202109,3464,3464.0
15,경기도,파주시,소울원,202109,3340,3340.0
16,경기도,파주시,황포돛배,202109,3080,3080.0
17,경기도,파주시,파주장릉,202109,2817,2817.0
18,경기도,파주시,산머루농원,202109,1010,1010.0
19,경기도,파주시,쇠꼴마을,202109,720,720.0
20,경기도,파주시,두루뫼박물관,202109,155,155.0
21,경기도,파주시,영집궁시박물관,202109,124,124.0
