지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1067.0,3.02
41113,수원시 권선구,1423.0,2.97
41115,수원시 팔달구,756.0,2.67
41117,수원시 영통구,991.0,3.0
41131,성남시 수정구,1062.0,2.96
41133,성남시 중원구,1168.0,2.78
41135,성남시 분당구,1228.0,3.19
41150,의정부시,2255.0,3.17
41171,안양시 만안구,1022.0,2.87
41173,안양시 동안구,1094.0,2.93
41190,부천시,2035.0,3.23
41210,광명시,889.0,2.92
41220,평택시,2328.0,3.02
41250,동두천시,1862.0,2.99
41271,안산시 상록구,2056.0,3.07
41273,안산시 단원구,1400.0,2.78
41281,고양시 덕양구,1297.0,3.12
41285,고양시 일산동구,1085.0,3.1
41287,고양시 일산서구,1232.0,3.12
41290,과천시,590.0,3.08
41310,구리시,592.0,2.84
41360,남양주시,1580.0,3.02
41370,오산시,1679.0,3.06
41390,시흥시,1231.0,2.9
41410,군포시,1232.0,2.98
41430,의왕시,623.0,2.84
41450,하남시,1376.0,3.27
41461,용인시 처인구,1097.0,2.75
41463,용인시 기흥구,1160.0,3.03
41465,용인시 수지구,1492.0,3.08
41480,파주시,1494.0,2.99
41500,이천시,1841.0,3.12
41550,안성시,1111.0,2.8
41570,김포시,1214.0,2.91
41590,화성시,1655.0,2.92
41610,광주시,1277.0,2.94
41630,양주시,1521.0,2.97
41650,포천시,1122.0,2.53
41670,여주시,1996.0,3.0
41800,연천군,1405.0,2.59
41820,가평군,1032.0,2.26
41830,양평군,833.0,2.44
