업종중분류명,현지인 검색비율,외지인 검색비율
음식,47.7,34.8
기타관광,16.3,16.8
쇼핑,12.1,18.3
문화관광,11.7,13.8
레저스포츠,5.1,9.1
숙박,3.7,3.7
역사관광,1.7,1.8
자연관광,1.4,1.5
체험관광,0.4,0.3
