국가명,비율(%)
중국,32.24
기타,22.32
미국,12.32
필리핀,6.51
인도네시아,4.77
베트남,2.55
프랑스,2.35
독일,2.32
태국,2.27
인도,2.19
일본,2.07
러시아,1.89
캐나다,1.84
튀르키예,0.87
영국,0.74
카자흐스탄,0.64
말레이시아,0.61
멕시코,0.51
싱가포르,0.36
대만,0.23
아랍에미리트,0.2
몽골,0.13
홍콩,0.05
사우디아라비아,0.03
