방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.4
60~69세,8.5,5.2
50~59세,12.5,8.3
40~49세,11.5,7.0
30~39세,10.8,7.7
20~29세,11.1,7.0
10~19세,2.4,1.9
0~9세,0.5,0.6
