업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,238,176,35.2,20288,19080,6.3
레저스포츠,307,244,25.8,20288,19080,6.3
문화관광,2985,2106,41.7,20288,19080,6.3
쇼핑,169,2020,-91.6,20288,19080,6.3
숙박,1066,653,63.2,20288,19080,6.3
역사관광,77,72,6.9,20288,19080,6.3
음식,15423,13784,11.9,20288,19080,6.3
자연관광,16,17,-5.9,20288,19080,6.3
체험관광,7,8,-12.5,20288,19080,6.3
