유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,61.7,9.3
음식,음식점기타,61.7,0.2
음식,전문음식,61.7,18.6
음식,카페/찻집,61.7,29.6
음식,한식,61.7,33.1
음식,외국식,61.7,9.1
문화관광,기타문화관광지,13.6,6.8
문화관광,도시/지역문화관광,13.6,0.0
문화관광,도시공원,13.6,34.7
문화관광,랜드마크관광,13.6,3.3
문화관광,레저스포츠시설,13.6,2.0
문화관광,복합관광시설,13.6,6.0
문화관광,전시시설,13.6,5.2
문화관광,테마공원,13.6,5.7
문화관광,공연시설,13.6,36.2
기타관광,기타관광,9.8,100.0
레저스포츠,기타레저스포츠,6.7,1.4
레저스포츠,육상레저스포츠,6.7,93.1
레저스포츠,수상레저스포츠,6.7,5.5
숙박,캠핑,3.8,36.1
숙박,호텔,3.8,38.2
숙박,펜션/민박,3.8,0.1
숙박,콘도미니엄,3.8,1.1
숙박,모텔,3.8,24.4
숙박,기타숙박,3.8,0.2
자연관광,자연경관(산),1.5,46.0
자연관광,자연경관(하천/해양),1.5,6.3
자연관광,자연공원,1.5,47.7
역사관광,역사유물,1.4,0.4
역사관광,역사유적지,1.4,25.4
역사관광,종교성지,1.4,74.2
쇼핑,시장,0.9,50.5
쇼핑,쇼핑몰,0.9,14.3
쇼핑,기타쇼핑시설,0.9,35.3
체험관광,농/산/어촌체험,0.5,91.5
체험관광,웰니스관광,0.5,8.5
