업종중분류명,업체명,방문자수,순위
음식,스타벅스/파주야당DT점,56.0,1
음식,곤트란쉐리에/파주점,23.0,2
음식,앤드테라스/파주점,21.0,3
음식,뮌스터담,19.0,4
음식,평양손만두/파주운정점,17.0,5
음식,더티트렁크,16.0,6
음식,말똥도넛디저트타운/파주점,14.0,7
음식,심학산도토리국수/본점,13.0,8
음식,파주뼈칼국수교하제면소,12.0,9
음식,총각네수산,11.0,10
쇼핑,롯데프리미엄아울렛/파주점,276.0,1
쇼핑,신세계프리미엄아울렛/파주점,256.0,2
쇼핑,이마트/파주운정점,97.0,3
쇼핑,홈플러스/파주운정점,60.0,4
쇼핑,이마트/파주점,18.0,5
쇼핑,운정가구타운,9.0,6
쇼핑,신세계팩토리스토어/파주점,4.0,7
쇼핑,금촌전통시장,4.0,8
쇼핑,홈플러스/파주문산점,3.0,9
쇼핑,문산자유시장,2.0,10
문화관광,운정호수공원,48.0,1
문화관광,CGV/파주야당,29.0,2
문화관광,메가박스/파주운정,25.0,3
문화관광,평화누리,19.0,4
문화관광,퍼스트가든,16.0,5
문화관광,롯데시네마/파주운정,15.0,6
문화관광,콰트로박스,10.0,7
문화관광,운정건강공원,9.0,8
문화관광,메가박스/파주출판도시,5.0,9
문화관광,오두산통일전망대,5.0,10
