순위,관광지ID,업소명,분류
71,3cba3e74d91d794584d0a320e0e77472,유가네양평해장국,한식
72,c7bb71a6502db41ef51d298d514d2c79,사색찬미한정식[한식],한식
73,80f97d1a0f6a694524f519c89cc0492b,민이네숯불닭갈비막창,전문음식
74,9c39c1f02eb51ccb4179b835441ef224,흑사당,카페/찻집
75,b4698b22ed1401f23466a21a55d0cf21,소령원장단콩두부마을,한식
76,3a6c3504fff5351cf14f44a2828f7a09,DMZ장단콩두부마을,한식
76,1eae1e01b893ef1e9909f6a5d2fea8f1,전국목장연합,한식
78,9a47e6d29414f4fc652f1e727b9d4c4d,모쿠슈라1호점,전문음식
79,f1504363268485568b0055e92d5a5c58,약선마을,한식
80,cb4dda3224b3090fa21dc60a141c7d81,장수대,한식
80,5f6f2ee8fe37115f1e8cca7244dfe4aa,용궁칼국수파주본점,한식
82,7a7b99786e1481a0e4a8148e9e0de5c1,은아네한우소고기국밥,한식
83,4dadd1c9700b53cc3022d2c0e204e6fb,옛날시골밥상[한식],한식
84,e79c18296e95a9b22cdb20c0d4f5649e,소풍농월,카페/찻집
85,90a0af0fbccebf1be0a853b80a7e42f0,두둑한한판,한식
86,f3160db88d4f648d12754a9eb846c594,두포리매운탕,한식
87,26921981a5fc301810ec16912467aaf5,스타벅스파주금릉역점,카페/찻집
88,1f620da0bf6ff9fd73121f3afa32c9ac,무즐라,카페/찻집
89,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
90,5649226bf70af622d2d12fc80c440006,글램독그라운드파주점,카페/찻집
91,d3fe3176f07e255a09046935344d9f67,원두막본점,한식
92,16a15ce8fbe300f02ccea6a7516b4e54,어라운드에잇,카페/찻집
93,22c7545017c005f942885bc8a3e2cd69,장어명가지중해,전문음식
94,120484ff236a194fb95830dc6acd3bbf,잇탈리헤이리점,외국식
94,850f95e73ff69b5b0dd61f8bd002eee7,오두산막국수본점,한식
96,efdd66797bcec11d0fe35d032b88e309,파주장단콩두부,한식
97,9c63df7e63ef4f7f0fe857a18ddc3e46,숑스바베큐파주본점,한식
98,f9a93a4fc062175e200f25c06373c532,언칼국수금촌본점,한식
99,7e9400eaa02c655471fb55461c134136,로빈의숲,한식
100,1cbb7831fd6c72632382e3e79e9a1fec,소플러스운정점,한식
