순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202211,83772,83772.0
2,경기도,파주시,헤이리예술마을,202211,39000,39000.0
3,경기도,파주시,벽초지수목원,202211,32784,32784.0
4,경기도,파주시,퍼스트가든,202211,18321,18321.0
5,경기도,파주시,통일전망대,202211,16282,16282.0
6,경기도,파주시,율곡선생유적지,202211,12891,12891.0
7,경기도,파주시,경기미래교육 파주캠퍼스,202211,10986,10986.0
8,경기도,파주시,공릉관광지(하니랜드),202211,10026,10026.0
9,경기도,파주시,서서울컨트리클럽,202211,9892,9892.0
10,경기도,파주시,파주삼릉,202211,7026,7026.0
11,경기도,파주시,제3땅굴,202211,5777,5777.0
12,경기도,파주시,베스트밸리,202211,5360,5360.0
13,경기도,파주시,서원밸리골프클럽,202211,5255,5255.0
14,경기도,파주시,황희선생유적지,202211,3147,3147.0
15,경기도,파주시,파주장릉,202211,2366,2366.0
16,경기도,파주시,우농타조농장,202211,2265,2265.0
17,경기도,파주시,소울원,202211,2182,2182.0
18,경기도,파주시,황포돛배,202211,1760,1760.0
19,경기도,파주시,쇠꼴마을,202211,1572,1572.0
20,경기도,파주시,산머루농원,202211,547,547.0
21,경기도,파주시,영집궁시박물관,202211,103,103.0
22,경기도,파주시,두루뫼박물관,202211,82,82.0
