year,month,업종중분류명,업체명,방문자수,순위
2024,12,음식,포레스트아웃팅스/일산본점,30.0,1
2024,12,음식,일산칼국수/본점,28.0,2
2024,12,음식,설문가,14.0,3
2024,12,음식,옥할머니집,12.0,4
2024,12,음식,설문커피,11.0,5
2024,12,음식,가나안덕/일산본점,11.0,6
2024,12,음식,백마회관,10.0,7
2024,12,음식,여자만숯불장어구이,10.0,8
2024,12,음식,긴자/일산점 [일식],10.0,9
2024,12,음식,부페파크/일산점,9.0,10
2024,12,쇼핑,코스트코홀세일/일산점,139.0,1
2024,12,쇼핑,라페스타,47.0,2
2024,12,쇼핑,이마트/풍산점,44.0,3
2024,12,쇼핑,벨라시타,37.0,4
2024,12,쇼핑,롯데백화점/일산점,33.0,5
2024,12,쇼핑,뉴코아아울렛/일산점,32.0,6
2024,12,쇼핑,홈플러스/일산점,22.0,7
2024,12,쇼핑,이마트/일산점,14.0,8
2024,12,쇼핑,홈플러스/고양터미널점,13.0,9
2024,12,쇼핑,롯데아울렛/고양터미널점,5.0,10
2024,12,문화관광,일산호수공원,33.0,1
2024,12,문화관광,CGV/일산,18.0,2
2024,12,문화관광,CGV/고양백석,7.0,3
2024,12,문화관광,고양아람누리,6.0,4
2024,12,문화관광,롯데시네마/라페스타,6.0,5
2024,12,문화관광,중산체육공원,6.0,6
2024,12,문화관광,어울놀이패밀리카페/식사점,4.0,7
2024,12,문화관광,고양꽃전시관,3.0,8
2024,12,문화관광,지영구장,2.0,9
2024,12,문화관광,AOA풋살스타디움,2.0,10
