year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2025,2,음식,간이음식,74.6,8.4
2025,2,음식,외국식,74.6,9.3
2025,2,음식,한식,74.6,38.5
2025,2,음식,카페/찻집,74.6,24.4
2025,2,음식,전문음식,74.6,19.1
2025,2,음식,음식점기타,74.6,0.3
2025,2,문화관광,공연시설,9.8,35.4
2025,2,문화관광,기타문화관광지,9.8,3.4
2025,2,문화관광,도시공원,9.8,26.2
2025,2,문화관광,랜드마크관광,9.8,5.8
2025,2,문화관광,레저스포츠시설,9.8,3.8
2025,2,문화관광,복합관광시설,9.8,2.8
2025,2,문화관광,전시시설,9.8,9.9
2025,2,문화관광,테마공원,9.8,12.7
2025,2,기타관광,기타관광,6.0,100.0
2025,2,레저스포츠,기타레저스포츠,3.9,27.0
2025,2,레저스포츠,육상레저스포츠,3.9,68.2
2025,2,레저스포츠,수상레저스포츠,3.9,4.8
2025,2,숙박,캠핑,2.3,26.3
2025,2,숙박,호텔,2.3,44.8
2025,2,숙박,호스텔,2.3,0.2
2025,2,숙박,펜션/민박,2.3,0.2
2025,2,숙박,모텔,2.3,27.9
2025,2,숙박,기타숙박,2.3,0.5
2025,2,역사관광,역사유적지,1.4,11.6
2025,2,역사관광,종교성지,1.4,88.4
2025,2,쇼핑,시장,1.3,59.3
2025,2,쇼핑,쇼핑몰,1.3,21.2
2025,2,쇼핑,기타쇼핑시설,1.3,19.5
2025,2,체험관광,농/산/어촌체험,0.4,52.2
2025,2,체험관광,웰니스관광,0.4,47.8
2025,2,자연관광,자연경관(산),0.3,87.7
2025,2,자연관광,자연경관(하천/해양),0.3,10.5
2025,2,자연관광,자연공원,0.3,1.8
