year,month,업종중분류명,업체명,방문자수,순위
2024,7,음식,맥도날드/고양덕이DT점,112.0,1
2024,7,음식,명장텐,53.0,2
2024,7,음식,카페몬타나,40.0,3
2024,7,음식,육대장/일산대화점,33.0,4
2024,7,음식,덕수다방,32.0,5
2024,7,음식,원가든능이버섯백숙,21.0,6
2024,7,음식,스타벅스/대화역점,20.0,7
2024,7,음식,원조직화주꾸미&팔당냉면/덕이점,18.0,8
2024,7,음식,마니산산채/일산점 [한식],18.0,9
2024,7,음식,장세무한리필/일산본점,17.0,10
2024,7,쇼핑,트레이더스 홀세일 클럽/킨텍스점,273.0,1
2024,7,쇼핑,하나로마트/고양점,131.0,2
2024,7,쇼핑,현대백화점/킨텍스점,106.0,3
2024,7,쇼핑,롯데마트/주엽점,46.0,4
2024,7,쇼핑,일산시장,37.0,5
2024,7,쇼핑,원마운트,34.0,6
2024,7,쇼핑,그랜드백화점/일산점,25.0,7
2024,7,쇼핑,고양일산호수공원가로수길,21.0,8
2024,7,쇼핑,한솔코아,18.0,9
2024,7,쇼핑,더타운몰/킨텍스점,12.0,10
2024,7,문화관광,킨텍스/제2전시장,82.0,1
2024,7,문화관광,킨텍스/제1전시장,74.0,2
2024,7,문화관광,현대모터스튜디오/고양,32.0,3
2024,7,문화관광,원마운트워터파크,28.0,4
2024,7,문화관광,메가박스/킨텍스,10.0,5
2024,7,문화관광,메가박스/일산,6.0,6
2024,7,문화관광,아쿠아플라넷/일산,5.0,7
2024,7,문화관광,싸커스토리축구센터/운정점,4.0,8
2024,7,문화관광,대화레포츠공원축구장,3.0,9
2024,7,문화관광,대화농업체험공원,3.0,10
