year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2024,4,음식,간이음식,62.2,8.1
2024,4,음식,외국식,62.2,9.3
2024,4,음식,음식점기타,62.2,0.1
2024,4,음식,전문음식,62.2,18.5
2024,4,음식,카페/찻집,62.2,27.5
2024,4,음식,한식,62.2,36.5
2024,4,문화관광,복합관광시설,14.8,4.7
2024,4,문화관광,테마공원,14.8,12.5
2024,4,문화관광,전시시설,14.8,4.0
2024,4,문화관광,레저스포츠시설,14.8,2.9
2024,4,문화관광,랜드마크관광,14.8,3.0
2024,4,문화관광,도시공원,14.8,43.7
2024,4,문화관광,기타문화관광지,14.8,4.6
2024,4,문화관광,공연시설,14.8,24.6
2024,4,기타관광,기타관광,8.3,100.0
2024,4,레저스포츠,육상레저스포츠,7.5,84.5
2024,4,레저스포츠,수상레저스포츠,7.5,4.1
2024,4,레저스포츠,기타레저스포츠,7.5,11.4
2024,4,숙박,캠핑,3.3,43.0
2024,4,숙박,호텔,3.3,35.4
2024,4,숙박,호스텔,3.3,0.1
2024,4,숙박,모텔,3.3,21.5
2024,4,역사관광,역사유물,1.7,0.2
2024,4,역사관광,역사유적지,1.7,22.2
2024,4,역사관광,종교성지,1.7,77.6
2024,4,자연관광,자연경관(산),1.0,43.7
2024,4,자연관광,자연경관(하천/해양),1.0,7.0
2024,4,자연관광,자연공원,1.0,49.3
2024,4,쇼핑,시장,1.0,55.7
2024,4,쇼핑,쇼핑몰,1.0,17.7
2024,4,쇼핑,기타쇼핑시설,1.0,26.7
2024,4,체험관광,농/산/어촌체험,0.3,83.8
2024,4,체험관광,웰니스관광,0.3,16.2
