year,month,업종중분류명,업체명,방문자수,순위
2024,8,음식,코다리밥도둑/심학산점,64.0,1
2024,8,음식,록갈비/야당역점,48.0,2
2024,8,음식,유가네닭갈비/파주야당점,48.0,3
2024,8,음식,쟈빠따,31.0,4
2024,8,음식,스타벅스/파주야당DT점,30.0,5
2024,8,음식,밀팟/운정점,21.0,6
2024,8,음식,생선굽는마을,20.0,7
2024,8,음식,맘스터치/파주초롱꽃마을점,18.0,8
2024,8,음식,타이로드,18.0,9
2024,8,음식,명륜진사갈비/파주야당점,18.0,10
2024,8,쇼핑,신세계프리미엄아울렛/파주점,110.0,1
2024,8,쇼핑,이마트/파주운정점,109.0,2
2024,8,쇼핑,롯데프리미엄아울렛/파주점,64.0,3
2024,8,쇼핑,홈플러스/파주운정점,59.0,4
2024,8,쇼핑,이마트/파주점,10.0,5
2024,8,쇼핑,금촌통일시장,5.0,6
2024,8,쇼핑,운정가구단지,4.0,7
2024,8,쇼핑,홈플러스/파주문산점,2.0,8
2024,8,쇼핑,파주파비뇽아울렛,2.0,9
2024,8,쇼핑,신세계팩토리스토어/신세계프리미엄아울렛파주점,1.0,10
2024,8,문화관광,CGV/파주야당,29.0,1
2024,8,문화관광,메가박스/파주운정,16.0,2
2024,8,문화관광,운정호수공원,12.0,3
2024,8,문화관광,오두산통일전망대,11.0,4
2024,8,문화관광,퍼스트가든,8.0,5
2024,8,문화관광,평화누리,7.0,6
2024,8,문화관광,운정건강공원,6.0,7
2024,8,문화관광,자유로자동차극장,5.0,8
2024,8,문화관광,뮤지엄헤이,3.0,9
2024,8,문화관광,교하체육공원,3.0,10
