year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2024,11,음식,간이음식,75.6,5.8
2024,11,음식,외국식,75.6,10.0
2024,11,음식,음식점기타,75.6,0.9
2024,11,음식,한식,75.6,45.8
2024,11,음식,카페/찻집,75.6,15.4
2024,11,음식,전문음식,75.6,22.1
2024,11,문화관광,공연시설,13.0,27.1
2024,11,문화관광,기타문화관광지,13.0,0.4
2024,11,문화관광,도시공원,13.0,55.6
2024,11,문화관광,레저스포츠시설,13.0,8.4
2024,11,문화관광,전시시설,13.0,7.5
2024,11,문화관광,테마공원,13.0,1.1
2024,11,레저스포츠,기타레저스포츠,4.5,56.0
2024,11,레저스포츠,육상레저스포츠,4.5,17.5
2024,11,레저스포츠,수상레저스포츠,4.5,26.6
2024,11,숙박,캠핑,4.1,0.3
2024,11,숙박,호텔,4.1,71.9
2024,11,숙박,호스텔,4.1,5.2
2024,11,숙박,콘도미니엄,4.1,2.1
2024,11,숙박,모텔,4.1,20.2
2024,11,숙박,기타숙박,4.1,0.2
2024,11,쇼핑,쇼핑몰,1.2,56.6
2024,11,쇼핑,기타쇼핑시설,1.2,43.4
2024,11,기타관광,기타관광,1.0,100.0
2024,11,역사관광,역사유적지,0.3,7.0
2024,11,역사관광,종교성지,0.3,93.0
2024,11,체험관광,농/산/어촌체험,0.1,100.0
2024,11,자연관광,자연경관(산),0.1,100.0
