year,month,업종중분류명,업체명,방문자수,순위
2024,12,음식,뮌스터담,24.0,1
2024,12,음식,레드파이프,22.0,2
2024,12,음식,스타벅스/파주야당DT점,22.0,3
2024,12,음식,쟈빠따,20.0,4
2024,12,음식,평양손만두/파주운정점,19.0,5
2024,12,음식,쿠우쿠우/파주운정점,17.0,6
2024,12,음식,생선굽는마을,14.0,7
2024,12,음식,안동각/[중식],10.0,8
2024,12,음식,내사랑동까스,9.0,9
2024,12,음식,샤브20/파주운정점,9.0,10
2024,12,쇼핑,롯데프리미엄아울렛/파주점,106.0,1
2024,12,쇼핑,신세계프리미엄아울렛/파주점,79.0,2
2024,12,쇼핑,이마트/파주운정점,67.0,3
2024,12,쇼핑,홈플러스/파주운정점,48.0,4
2024,12,쇼핑,이마트/파주점,15.0,5
2024,12,쇼핑,운정가구단지,6.0,6
2024,12,쇼핑,홈플러스/파주문산점,4.0,7
2024,12,쇼핑,금촌전통시장,1.0,8
2024,12,쇼핑,문산자유시장,1.0,9
2024,12,쇼핑,신세계팩토리스토어/신세계프리미엄아울렛파주점,1.0,10
2024,12,문화관광,메가박스/파주운정,23.0,1
2024,12,문화관광,CGV/파주야당,14.0,2
2024,12,문화관광,퍼스트가든,11.0,3
2024,12,문화관광,운정호수공원,7.0,4
2024,12,문화관광,평화누리,6.0,5
2024,12,문화관광,파주놀이구름,6.0,6
2024,12,문화관광,오두산통일전망대,5.0,7
2024,12,문화관광,롯데시네마/파주롯데아울렛,4.0,8
2024,12,문화관광,운정건강공원/인조잔디축구장,4.0,9
2024,12,문화관광,교하체육공원,4.0,10
