year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2025,6,음식,간이음식,71.4,7.7
2025,6,음식,외국식,71.4,9.4
2025,6,음식,음식점기타,71.4,0.6
2025,6,음식,전문음식,71.4,20.1
2025,6,음식,카페/찻집,71.4,13.0
2025,6,음식,한식,71.4,49.1
2025,6,문화관광,전시시설,15.0,8.0
2025,6,문화관광,테마공원,15.0,0.3
2025,6,문화관광,레저스포츠시설,15.0,7.3
2025,6,문화관광,도시공원,15.0,53.9
2025,6,문화관광,기타문화관광지,15.0,0.4
2025,6,문화관광,공연시설,15.0,30.1
2025,6,레저스포츠,육상레저스포츠,4.3,20.6
2025,6,레저스포츠,수상레저스포츠,4.3,21.3
2025,6,레저스포츠,기타레저스포츠,4.3,58.1
2025,6,기타관광,교통시설,4.2,76.7
2025,6,기타관광,기타관광,4.2,23.3
2025,6,숙박,콘도미니엄,3.1,4.2
2025,6,숙박,호텔,3.1,67.3
2025,6,숙박,호스텔,3.1,6.8
2025,6,숙박,모텔,3.1,21.7
2025,6,쇼핑,쇼핑몰,1.4,45.2
2025,6,쇼핑,기타쇼핑시설,1.4,54.8
2025,6,역사관광,역사유적지,0.4,13.2
2025,6,역사관광,종교성지,0.4,79.4
2025,6,역사관광,역사유물,0.4,7.4
2025,6,체험관광,농/산/어촌체험,0.1,100.0
2025,6,자연관광,자연경관(산),0.0,100.0
