year,month,업종중분류명,업체명,방문자수,순위
2025,9,음식,일산칼국수/본점,19.0,1
2025,9,음식,킴스델리마켓/일산점,13.0,2
2025,9,음식,옥할머니집,13.0,3
2025,9,음식,설문커피,11.0,4
2025,9,음식,포레스트아웃팅스/일산본점,10.0,5
2025,9,음식,가나안덕/일산본점,10.0,6
2025,9,음식,카페떼오,10.0,7
2025,9,음식,팥티오/설문점,9.0,8
2025,9,음식,옐로커피,9.0,9
2025,9,음식,설문가,7.0,10
2025,9,쇼핑,코스트코홀세일/일산점,122.0,1
2025,9,쇼핑,이마트/풍산점,75.0,2
2025,9,쇼핑,롯데백화점/일산점,40.0,3
2025,9,쇼핑,벨라시타,38.0,4
2025,9,쇼핑,라페스타,33.0,5
2025,9,쇼핑,뉴코아아울렛/일산점,29.0,6
2025,9,쇼핑,홈플러스/일산점,17.0,7
2025,9,쇼핑,이마트/일산점,10.0,8
2025,9,쇼핑,홈플러스/고양터미널점,8.0,9
2025,9,쇼핑,해태쇼핑타운,6.0,10
2025,9,문화관광,일산호수공원,58.0,1
2025,9,문화관광,CGV/일산,15.0,2
2025,9,문화관광,고양아람누리,12.0,3
2025,9,문화관광,롯데시네마/라페스타,9.0,4
2025,9,문화관광,CGV/고양백석,8.0,5
2025,9,문화관광,지영체육공원,7.0,6
2025,9,문화관광,중산체육공원,5.0,7
2025,9,문화관광,메가박스/백석벨라시타,4.0,8
2025,9,문화관광,정발산공원,3.0,9
2025,9,문화관광,AOA풋살스타디움,2.0,10
