year,month,업종중분류명,검색건수,총검색건수
2024,9,기타관광,112,16428
2024,9,레저스포츠,563,16428
2024,9,문화관광,2016,16428
2024,9,쇼핑,201,16428
2024,9,숙박,546,16428
2024,9,역사관광,52,16428
2024,9,음식,12901,16428
2024,9,자연관광,7,16428
2024,9,체험관광,30,16428
