year,month,업종중분류명,업체명,방문자수,순위
2025,1,음식,평양손만두/파주운정점,40.0,1
2025,1,음식,뮌스터담,23.0,2
2025,1,음식,쟈빠따,19.0,3
2025,1,음식,스타벅스/파주야당DT점,18.0,4
2025,1,음식,생선굽는마을,12.0,5
2025,1,음식,심학산도토리국수/본점,12.0,6
2025,1,음식,청산어죽,11.0,7
2025,1,음식,취선향/본점 [중식],11.0,8
2025,1,음식,더티트렁크,11.0,9
2025,1,음식,곤트란쉐리에/파주점,10.0,10
2025,1,쇼핑,롯데프리미엄아울렛/파주점,79.0,1
2025,1,쇼핑,신세계프리미엄아울렛/파주점,74.0,2
2025,1,쇼핑,이마트/파주운정점,69.0,3
2025,1,쇼핑,홈플러스/파주운정점,46.0,4
2025,1,쇼핑,이마트/파주점,12.0,5
2025,1,쇼핑,신세계팩토리스토어/신세계프리미엄아울렛파주점,4.0,6
2025,1,쇼핑,홈플러스/파주문산점,3.0,7
2025,1,쇼핑,운정가구단지,2.0,8
2025,1,쇼핑,금촌전통시장,2.0,9
2025,1,쇼핑,봉일천종합시장,2.0,10
2025,1,문화관광,메가박스/파주운정,15.0,1
2025,1,문화관광,CGV/파주야당,13.0,2
2025,1,문화관광,운정호수공원,10.0,3
2025,1,문화관광,오두산통일전망대,6.0,4
2025,1,문화관광,퍼스트가든,6.0,5
2025,1,문화관광,롯데시네마/파주운정,6.0,6
2025,1,문화관광,평화누리,4.0,7
2025,1,문화관광,파주놀이구름,4.0,8
2025,1,문화관광,뮤지엄헤이,4.0,9
2025,1,문화관광,브레드이발소키즈카페/파주운정점,4.0,10
