year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2024,1,음식,간이음식,72.7,8.6
2024,1,음식,음식점기타,72.7,0.1
2024,1,음식,전문음식,72.7,18.8
2024,1,음식,카페/찻집,72.7,29.2
2024,1,음식,한식,72.7,33.5
2024,1,음식,외국식,72.7,9.8
2024,1,문화관광,기타문화관광지,11.7,7.3
2024,1,문화관광,도시/지역문화관광,11.7,0.0
2024,1,문화관광,도시공원,11.7,28.5
2024,1,문화관광,랜드마크관광,11.7,2.9
2024,1,문화관광,레저스포츠시설,11.7,2.5
2024,1,문화관광,복합관광시설,11.7,3.0
2024,1,문화관광,전시시설,11.7,8.6
2024,1,문화관광,테마공원,11.7,11.2
2024,1,문화관광,공연시설,11.7,36.1
2024,1,기타관광,기타관광,6.7,100.0
2024,1,레저스포츠,기타레저스포츠,3.3,21.9
2024,1,레저스포츠,육상레저스포츠,3.3,72.1
2024,1,레저스포츠,수상레저스포츠,3.3,6.0
2024,1,숙박,모텔,2.3,29.5
2024,1,숙박,호텔,2.3,47.6
2024,1,숙박,호스텔,2.3,0.1
2024,1,숙박,펜션/민박,2.3,0.5
2024,1,숙박,캠핑,2.3,22.1
2024,1,숙박,기타숙박,2.3,0.1
2024,1,역사관광,역사유적지,1.3,12.7
2024,1,역사관광,종교성지,1.3,87.3
2024,1,쇼핑,시장,0.9,58.3
2024,1,쇼핑,쇼핑몰,0.9,15.5
2024,1,쇼핑,기타쇼핑시설,0.9,26.1
2024,1,자연관광,자연경관(산),0.7,71.6
2024,1,자연관광,자연경관(하천/해양),0.7,10.6
2024,1,자연관광,자연공원,0.7,17.8
2024,1,체험관광,농/산/어촌체험,0.3,72.0
2024,1,체험관광,웰니스관광,0.3,28.0
