year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2025,5,음식,한식,70.6,48.5
2025,5,음식,간이음식,70.6,6.9
2025,5,음식,외국식,70.6,9.6
2025,5,음식,음식점기타,70.6,0.7
2025,5,음식,전문음식,70.6,20.9
2025,5,음식,카페/찻집,70.6,13.4
2025,5,문화관광,기타문화관광지,17.0,8.1
2025,5,문화관광,도시공원,17.0,61.1
2025,5,문화관광,레저스포츠시설,17.0,6.5
2025,5,문화관광,전시시설,17.0,4.1
2025,5,문화관광,테마공원,17.0,0.8
2025,5,문화관광,공연시설,17.0,19.4
2025,5,레저스포츠,육상레저스포츠,3.7,24.3
2025,5,레저스포츠,수상레저스포츠,3.7,14.2
2025,5,레저스포츠,기타레저스포츠,3.7,61.6
2025,5,숙박,모텔,3.5,19.1
2025,5,숙박,캠핑,3.5,0.5
2025,5,숙박,콘도미니엄,3.5,2.5
2025,5,숙박,호스텔,3.5,7.5
2025,5,숙박,호텔,3.5,70.4
2025,5,기타관광,기타관광,2.7,53.8
2025,5,기타관광,교통시설,2.7,46.2
2025,5,쇼핑,쇼핑몰,1.9,35.8
2025,5,쇼핑,기타쇼핑시설,1.9,64.2
2025,5,역사관광,종교성지,0.5,96.5
2025,5,역사관광,역사유적지,0.5,3.5
2025,5,체험관광,농/산/어촌체험,0.2,100.0
2025,5,자연관광,자연경관(산),0.1,72.7
2025,5,자연관광,자연경관(하천/해양),0.1,27.3
