year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2025,1,음식,간이음식,72.4,8.1
2025,1,음식,외국식,72.4,8.9
2025,1,음식,음식점기타,72.4,0.4
2025,1,음식,전문음식,72.4,19.1
2025,1,음식,카페/찻집,72.4,26.5
2025,1,음식,한식,72.4,37.0
2025,1,문화관광,복합관광시설,11.0,3.5
2025,1,문화관광,테마공원,11.0,9.5
2025,1,문화관광,전시시설,11.0,9.0
2025,1,문화관광,레저스포츠시설,11.0,4.3
2025,1,문화관광,랜드마크관광,11.0,4.9
2025,1,문화관광,도시공원,11.0,23.4
2025,1,문화관광,도시/지역문화관광,11.0,0.0
2025,1,문화관광,기타문화관광지,11.0,3.9
2025,1,문화관광,공연시설,11.0,41.4
2025,1,기타관광,기타관광,6.4,100.0
2025,1,레저스포츠,육상레저스포츠,3.6,67.2
2025,1,레저스포츠,수상레저스포츠,3.6,7.0
2025,1,레저스포츠,기타레저스포츠,3.6,25.8
2025,1,숙박,기타숙박,2.6,0.4
2025,1,숙박,호텔,2.6,40.7
2025,1,숙박,캠핑,2.6,28.6
2025,1,숙박,모텔,2.6,30.3
2025,1,역사관광,역사유적지,1.9,14.4
2025,1,역사관광,종교성지,1.9,85.6
2025,1,쇼핑,시장,1.4,65.1
2025,1,쇼핑,쇼핑몰,1.4,17.4
2025,1,쇼핑,기타쇼핑시설,1.4,17.4
2025,1,자연관광,자연경관(산),0.5,77.3
2025,1,자연관광,자연경관(하천/해양),0.5,19.6
2025,1,자연관광,자연공원,0.5,3.1
2025,1,체험관광,농/산/어촌체험,0.3,59.7
2025,1,체험관광,웰니스관광,0.3,40.3
