year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2024,3,음식,한식,74.6,41.6
2024,3,음식,간이음식,74.6,6.9
2024,3,음식,외국식,74.6,10.4
2024,3,음식,음식점기타,74.6,0.8
2024,3,음식,전문음식,74.6,24.2
2024,3,음식,카페/찻집,74.6,16.0
2024,3,문화관광,공연시설,14.0,35.1
2024,3,문화관광,기타문화관광지,14.0,0.9
2024,3,문화관광,도시공원,14.0,52.0
2024,3,문화관광,레저스포츠시설,14.0,7.8
2024,3,문화관광,전시시설,14.0,2.6
2024,3,문화관광,테마공원,14.0,1.7
2024,3,숙박,모텔,4.7,17.2
2024,3,숙박,캠핑,4.7,0.2
2024,3,숙박,콘도미니엄,4.7,4.5
2024,3,숙박,호스텔,4.7,8.8
2024,3,숙박,호텔,4.7,69.2
2024,3,레저스포츠,기타레저스포츠,3.9,64.5
2024,3,레저스포츠,육상레저스포츠,3.9,17.9
2024,3,레저스포츠,수상레저스포츠,3.9,17.6
2024,3,쇼핑,쇼핑몰,1.3,63.5
2024,3,쇼핑,기타쇼핑시설,1.3,36.5
2024,3,기타관광,기타관광,0.7,100.0
2024,3,역사관광,종교성지,0.4,97.8
2024,3,역사관광,역사유적지,0.4,2.2
2024,3,체험관광,농/산/어촌체험,0.2,100.0
2024,3,자연관광,자연경관(산),0.1,100.0
