year,month,업종중분류명,업체명,방문자수,순위
2025,7,음식,쟈빠따,20.0,1
2025,7,음식,스타벅스/파주야당DT점,19.0,2
2025,7,음식,뮌스터담,15.0,3
2025,7,음식,팥티오/운정점,15.0,4
2025,7,음식,앤드테라스/파주점,10.0,5
2025,7,음식,레드파이프,10.0,6
2025,7,음식,안동각/[중식],10.0,7
2025,7,음식,고메스퀘어/파주직영점,9.0,8
2025,7,음식,생선굽는마을,8.0,9
2025,7,음식,소문난팔당냉면,8.0,10
2025,7,쇼핑,롯데프리미엄아울렛/파주점,82.0,1
2025,7,쇼핑,이마트/파주운정점,69.0,2
2025,7,쇼핑,신세계프리미엄아울렛/파주점,56.0,3
2025,7,쇼핑,홈플러스/파주운정점,42.0,4
2025,7,쇼핑,이마트/파주점,14.0,5
2025,7,쇼핑,신세계팩토리스토어/신세계프리미엄아울렛파주점,4.0,6
2025,7,쇼핑,홈플러스/파주문산점,3.0,7
2025,7,쇼핑,봉일천종합시장,2.0,8
2025,7,쇼핑,운정가구단지,2.0,9
2025,7,쇼핑,문산자유시장,2.0,10
2025,7,숙박,피카소호텔,22.0,1
2025,7,숙박,파크뷰테라스,14.0,2
2025,7,숙박,하이무인텔,8.0,3
2025,7,숙박,호텔시에나,8.0,4
2025,7,숙박,다온무인텔,6.0,5
2025,7,숙박,호텔그라체/금촌점,6.0,6
2025,7,숙박,스테이거기호텔,6.0,7
2025,7,숙박,모텔에로스,4.0,8
2025,7,숙박,아늑료칸호텔/파주금촌점,4.0,9
2025,7,숙박,지지향게스트하우스,3.0,10
