year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2024,3,음식,간이음식,66.9,8.1
2024,3,음식,외국식,66.9,9.2
2024,3,음식,음식점기타,66.9,0.1
2024,3,음식,전문음식,66.9,18.7
2024,3,음식,카페/찻집,66.9,28.0
2024,3,음식,한식,66.9,35.8
2024,3,문화관광,복합관광시설,13.6,2.1
2024,3,문화관광,테마공원,13.6,9.3
2024,3,문화관광,전시시설,13.6,6.6
2024,3,문화관광,레저스포츠시설,13.6,2.8
2024,3,문화관광,랜드마크관광,13.6,2.6
2024,3,문화관광,도시공원,13.6,36.5
2024,3,문화관광,도시/지역문화관광,13.6,0.0
2024,3,문화관광,기타문화관광지,13.6,4.9
2024,3,문화관광,공연시설,13.6,35.2
2024,3,기타관광,기타관광,7.7,100.0
2024,3,레저스포츠,육상레저스포츠,6.0,82.2
2024,3,레저스포츠,수상레저스포츠,6.0,4.9
2024,3,레저스포츠,기타레저스포츠,6.0,12.9
2024,3,숙박,캠핑,2.6,33.6
2024,3,숙박,호텔,2.6,41.7
2024,3,숙박,펜션/민박,2.6,0.2
2024,3,숙박,모텔,2.6,24.6
2024,3,역사관광,역사유물,1.3,0.2
2024,3,역사관광,역사유적지,1.3,22.1
2024,3,역사관광,종교성지,1.3,77.7
2024,3,쇼핑,시장,0.8,55.7
2024,3,쇼핑,쇼핑몰,0.8,13.7
2024,3,쇼핑,기타쇼핑시설,0.8,30.7
2024,3,자연관광,자연경관(산),0.7,59.5
2024,3,자연관광,자연경관(하천/해양),0.7,11.6
2024,3,자연관광,자연공원,0.7,28.9
2024,3,체험관광,농/산/어촌체험,0.3,72.6
2024,3,체험관광,웰니스관광,0.3,27.4
