year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2025,3,음식,간이음식,70.1,7.3
2025,3,음식,외국식,70.1,8.3
2025,3,음식,음식점기타,70.1,0.4
2025,3,음식,전문음식,70.1,18.8
2025,3,음식,카페/찻집,70.1,25.1
2025,3,음식,한식,70.1,40.0
2025,3,문화관광,복합관광시설,9.9,3.8
2025,3,문화관광,테마공원,9.9,12.1
2025,3,문화관광,전시시설,9.9,9.1
2025,3,문화관광,레저스포츠시설,9.9,3.2
2025,3,문화관광,랜드마크관광,9.9,3.7
2025,3,문화관광,도시공원,9.9,37.9
2025,3,문화관광,도시/지역문화관광,9.9,0.0
2025,3,문화관광,기타문화관광지,9.9,2.9
2025,3,문화관광,공연시설,9.9,27.3
2025,3,기타관광,기타관광,7.2,100.0
2025,3,레저스포츠,육상레저스포츠,6.6,81.7
2025,3,레저스포츠,수상레저스포츠,6.6,3.2
2025,3,레저스포츠,기타레저스포츠,6.6,15.1
2025,3,숙박,캠핑,2.8,26.9
2025,3,숙박,호텔,2.8,43.5
2025,3,숙박,펜션/민박,2.8,0.3
2025,3,숙박,모텔,2.8,29.3
2025,3,쇼핑,시장,1.4,57.7
2025,3,쇼핑,쇼핑몰,1.4,16.6
2025,3,쇼핑,기타쇼핑시설,1.4,25.7
2025,3,역사관광,역사유물,1.3,0.7
2025,3,역사관광,역사유적지,1.3,16.9
2025,3,역사관광,종교성지,1.3,82.4
2025,3,자연관광,자연경관(산),0.4,74.4
2025,3,자연관광,자연경관(하천/해양),0.4,22.1
2025,3,자연관광,자연공원,0.4,3.5
2025,3,체험관광,농/산/어촌체험,0.3,78.6
2025,3,체험관광,웰니스관광,0.3,21.4
