지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1074.0,2.83
41113,수원시 권선구,1079.0,2.74
41115,수원시 팔달구,690.0,2.55
41117,수원시 영통구,967.0,2.87
41131,성남시 수정구,987.0,2.79
41133,성남시 중원구,1158.0,2.68
41135,성남시 분당구,948.0,2.95
41150,의정부시,1500.0,2.75
41171,안양시 만안구,978.0,2.69
41173,안양시 동안구,984.0,2.76
41190,부천시,1368.0,2.81
41210,광명시,881.0,2.74
41220,평택시,2070.0,2.88
41250,동두천시,1380.0,2.72
41271,안산시 상록구,1674.0,2.82
41273,안산시 단원구,1192.0,2.69
41281,고양시 덕양구,984.0,2.83
41285,고양시 일산동구,929.0,2.84
41287,고양시 일산서구,946.0,2.82
41290,과천시,615.0,2.96
41310,구리시,722.0,2.72
41360,남양주시,1413.0,2.77
41370,오산시,1327.0,2.82
41390,시흥시,1257.0,2.79
41410,군포시,1312.0,2.8
41430,의왕시,805.0,2.77
41450,하남시,780.0,2.85
41461,용인시 처인구,1321.0,2.65
41463,용인시 기흥구,1163.0,2.86
41465,용인시 수지구,1369.0,2.92
41480,파주시,1279.0,2.76
41500,이천시,1118.0,2.73
41550,안성시,1158.0,2.73
41570,김포시,1388.0,2.81
41590,화성시,1596.0,2.81
41610,광주시,1203.0,2.68
41630,양주시,1383.0,2.75
41650,포천시,1319.0,2.56
41670,여주시,973.0,2.64
41800,연천군,1515.0,2.62
41820,가평군,1464.0,2.36
41830,양평군,1127.0,2.47
