순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202108,95019,95019.0
2,경기도,파주시,퍼스트가든,202108,37875,37875.0
3,경기도,파주시,헤이리예술마을,202108,32150,32150.0
4,경기도,파주시,벽초지수목원,202108,27328,27328.0
5,경기도,파주시,공릉관광지(하니랜드),202108,12347,12347.0
6,경기도,파주시,통일전망대,202108,10847,10847.0
7,경기도,파주시,서서울컨트리클럽,202108,10253,10253.0
8,경기도,파주시,서원밸리골프클럽,202108,8125,8125.0
9,경기도,파주시,율곡선생유적지,202108,5025,5025.0
10,경기도,파주시,황희선생유적지,202108,4046,4046.0
11,경기도,파주시,파주삼릉,202108,3807,3807.0
12,경기도,파주시,베스트밸리,202108,3028,3028.0
13,경기도,파주시,경기미래교육 파주캠퍼스,202108,2865,2865.0
14,경기도,파주시,우농타조농장,202108,2361,2361.0
15,경기도,파주시,황포돛배,202108,1982,1982.0
16,경기도,파주시,소울원,202108,1497,1497.0
17,경기도,파주시,쇠꼴마을,202108,1480,1480.0
18,경기도,파주시,파주장릉,202108,1475,1475.0
19,경기도,파주시,산머루농원,202108,935,935.0
20,경기도,파주시,두루뫼박물관,202108,176,176.0
21,경기도,파주시,영집궁시박물관,202108,135,135.0
