업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,51.2,2.9
쇼핑업,기타관광쇼핑,51.2,30.3
쇼핑업,대형쇼핑몰,51.2,66.8
숙박업,호텔,0.7,9.5
숙박업,캠핑장/펜션,0.7,4.5
숙박업,기타숙박,0.7,86.0
식음료업,일반외식업,24.1,82.9
식음료업,제과음료업,24.1,17.1
여가서비스업,관광유원시설,10.9,3.5
여가서비스업,골프장,10.9,82.6
여가서비스업,기타레저,10.9,10.3
여가서비스업,문화서비스,10.9,3.6
여행업,여행업,0.0,100.0
운송업,육상운송,12.2,100.0
운송업,렌터카,12.2,0.0
의료웰니스업,의료관광,1.0,15.0
의료웰니스업,뷰티,1.0,85.0
