소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.3,0.9
60대,6.9,4.2
50대,14.6,9.4
40대,17.1,9.9
30대,15.2,9.0
20대,6.3,4.6
10대,0.1,0.1
