방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.1,2.1
60~69세,6.5,4.1
50~59세,12.2,8.3
40~49세,11.8,7.6
30~39세,10.5,7.3
20~29세,12.5,7.4
10~19세,3.4,2.9
0~9세,0.5,0.7
