유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,19.6,42.6
기타관광,기타관광,19.6,57.4
레저스포츠,기타레저스포츠,4.4,5.4
레저스포츠,수상레저스포츠,4.4,7.6
레저스포츠,육상레저스포츠,4.4,87.0
문화관광,도시/지역문화관광,9.4,0.0
문화관광,기타문화관광지,9.4,3.8
문화관광,도시공원,9.4,27.4
문화관광,랜드마크관광,9.4,10.7
문화관광,복합관광시설,9.4,6.5
문화관광,테마공원,9.4,12.1
문화관광,레저스포츠시설,9.4,1.9
문화관광,공연시설,9.4,29.1
문화관광,전시시설,9.4,8.5
쇼핑,쇼핑몰,23.6,94.8
쇼핑,시장,23.6,3.1
쇼핑,기타쇼핑시설,23.6,2.0
숙박,모텔,3.4,29.2
숙박,펜션/민박,3.4,19.4
숙박,호스텔,3.4,5.3
숙박,호텔,3.4,19.0
숙박,캠핑,3.4,27.1
역사관광,역사유물,2.1,1.1
역사관광,역사유적지,2.1,24.6
역사관광,종교성지,2.1,74.2
음식,간이음식,36.3,8.7
음식,외국식,36.3,7.1
음식,음식점기타,36.3,0.6
음식,전문음식,36.3,20.4
음식,한식,36.3,34.7
음식,카페/찻집,36.3,28.6
자연관광,자연경관(하천/해양),0.8,42.2
자연관광,자연경관(산),0.8,44.3
자연관광,자연공원,0.8,13.5
체험관광,농/산/어촌체험,0.4,43.8
체험관광,웰니스관광,0.4,51.7
체험관광,공예체험,0.4,4.5
