업종중분류명,현지인 검색비율,외지인 검색비율
음식,45.3,34.7
기타관광,22.0,19.1
쇼핑,13.9,25.4
문화관광,9.9,9.3
레저스포츠,3.2,4.6
숙박,2.9,3.5
역사관광,1.7,2.1
자연관광,0.8,0.8
체험관광,0.4,0.4
