국가명,비율(%)
중국,49.98
일본,8.97
기타,8.52
태국,7.71
대만,6.54
미국,3.06
베트남,1.86
러시아,1.57
필리핀,1.54
홍콩,1.53
오스트레일리아,1.48
인도네시아,1.22
말레이시아,1.2
인도,0.93
캐나다,0.74
독일,0.55
몽골,0.54
싱가포르,0.5
영국,0.48
카자흐스탄,0.43
프랑스,0.28
튀르키예,0.21
아랍에미리트,0.06
멕시코,0.05
사우디아라비아,0.04
