거리구분명,방문자수,방문자비율
30km 미만,1223246.0,38.78
30km 이상 70km 미만,1508885.0,47.84
70km 이상 140km 미만 ,193956.0,6.15
140km 이상 190km 미만,70410.0,2.23
190km 이상 240km 미만,34674.0,1.1
240km 이상 ,122948.0,3.9
