방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.3,2.1
60~69세,7.6,4.5
50~59세,13.6,8.0
40~49세,12.4,6.9
30~39세,11.1,6.9
20~29세,12.9,6.2
10~19세,2.6,1.8
0~9세,0.5,0.6
