기준연월,목적지 유형,목적지 검색량
202006,전체,489770
202006,숙박,18485
202006,음식,179090
202006,기타관광,83574
202006,쇼핑,93694
202006,자연관광,7134
202006,문화관광,48194
202006,역사관광,8594
202006,체험관광,1299
202006,레저스포츠,49706
