국가명,비율(%)
기타,25.77
중국,20.07
미국,11.05
인도,10.12
인도네시아,9.4
필리핀,5.57
러시아,4.51
베트남,3.61
독일,2.13
태국,1.87
일본,1.62
캐나다,1.06
영국,0.94
말레이시아,0.68
프랑스,0.38
카자흐스탄,0.38
몽골,0.34
대만,0.17
오스트레일리아,0.17
싱가포르,0.09
튀르키예,0.04
홍콩,0.04
아랍에미리트,0.0
사우디아라비아,0.0
멕시코,0.0
